TDS #,EDP,# days,Current Charges,Consumption,Water&Sewer Charges,Other Charges,,Total Charges,,,,,,,,,,,,,
91,240,31,7046.87,760,7046.87,0,,14093.74,,,,,,,,,,,,,
91,240,28,5989.84,646,5989.84,0,,11979.68,,,,,,,,,,,,,
91,240,29,6481.27,699,6481.27,0,,12962.54,,,,,,,,,,,,,
91,240,30,7158.14,772,7158.14,0,,14316.28,,,,,,,,,,,,,
91,240,32,7640.29,824,7640.29,0,,15280.58,,,,,,,,,,,,,
91,240,30,6413.83,675,6413.83,0,,12827.66,,,,,,,,,,,,,
91,240,30,6842.26,714,6842.26,0,,13684.52,,,,,,,,,,,,,
91,240,32,7072.25,738,7072.25,0,,14144.5,,,,,,,,,,,,,
91,240,30,6918.93,722,6918.93,0,,13837.86,,,,,,,,,,,,,
91,240,32,7321.41,764,7321.41,0,,14642.82,,,,,,,,,,,,,
91,240,28,5414.4,565,5414.4,0,,10828.8,,,,,,,,,,,,,
91,240,32,6554.77,684,6554.77,0,,13109.54,,,,,,,,,,,,,
91,240,31,7158.5,747,7158.5,0,,14317,,,,,,,,,,,,,
91,240,28,6439.78,672,6439.78,0,,12879.56,,,,,,,,,,,,,
91,240,30,6458.94,674,6458.94,0,,12917.88,,,,,,,,,,,,,
91,240,29,7905.98,825,7905.98,0,,15811.96,,,,,,,,,,,,,
91,240,29,7465.16,779,7465.16,0,,14930.32,,,,,,,,,,,,,
91,240,34,6134.54,629,6134.54,0,,12269.08,,,,,,,,,,,,,
91,240,29,6177.31,626,6177.31,0,,12354.62,,,,,,,,,,,,,
92,670,365,4328.59,493,4328.59,0,,8657.18,,,,,,,,,,,,,
92,670,365,4571.19,493,4571.19,0,,9142.38,,,,,,,,,,,,,
92,670,354,4571.09,477,4571.09,0,,9142.18,,,,,,,,,,,,,
92,670,35,44.42,2,44.42,0,,88.84,,,,,,,,,,,,,
92,670,29,36.8,2,36.8,0,,73.6,,,,,,,,,,,,,
92,670,32,40.61,2,40.61,0,,81.22,,,,,,,,,,,,,
92,670,30,38.07,2,38.07,0,,76.14,,,,,,,,,,,,,
92,670,33,41.88,2,41.88,0,,83.76,,,,,,,,,,,,,
92,670,29,36.8,2,36.8,0,,73.6,,,,,,,,,,,,,
92,670,30,38.07,2,38.07,0,,76.14,,,,,,,,,,,,,
92,670,32,40.61,2,40.61,0,,81.22,,,,,,,,,,,,,
92,670,30,38.07,2,38.07,0,,76.14,,,,,,,,,,,,,
92,670,29,36.8,2,36.8,0,,73.6,,,,,,,,,,,,,
92,670,11,13.96,0,13.96,0,,27.92,,,,,,,,,,,,,
92,670,57,138.15,14,138.15,0,,276.3,,,,,,,,,,,,,
92,670,365,819.04,83,819.04,0,,1638.08,,,,,,,,,,,,,
92,670,286,631.55,64,631.55,0,,1263.1,,,,,,,,,,,,,
92,670,40,98.68,10,98.68,0,,197.36,,,,,,,,,,,,,
92,670,29,69.08,7,69.08,0,,138.16,,,,,,,,,,,,,
92,670,33,93.5,8,93.5,0,,187,,,,,,,,,,,,,
92,670,31,242.42,24,242.42,0,,484.84,,,,,,,,,,,,,
92,670,32,60.61,6,60.61,0,,121.22,,,,,,,,,,,,,
92,670,29,80.81,8,80.81,0,,161.62,,,,,,,,,,,,,
92,670,33,101.01,10,101.01,0,,202.02,,,,,,,,,,,,,
92,670,28,80.81,8,80.81,0,,161.62,,,,,,,,,,,,,
92,670,31,70.71,7,70.71,0,,141.42,,,,,,,,,,,,,
92,670,29,80.81,8,80.81,0,,161.62,,,,,,,,,,,,,
92,670,31,101.01,10,101.01,0,,202.02,,,,,,,,,,,,,
92,670,29,121.21,12,121.21,0,,242.42,,,,,,,,,,,,,
92,670,30,101.01,10,101.01,0,,202.02,,,,,,,,,,,,,
